Ticker,Asset Name,Transaction Date,Disclosure Date,Type,Amount Range,Insider Title,Min Amount,Max Amount,Midpoint Amount
AAPL,Apple Inc.,2019-09-25,09/25/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
AMZN,"Amazon.com, Inc.",2019-09-25,09/25/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
UNH,UnitedHealth Group Incorporated,2019-09-30,09/30/2019,SALE (FULL),"$15,001 - $50,000",Senator,15001,50000,32500.5
TSLA,"Tesla, Inc.",2019-08-27,08/27/2019,SALE (FULL),"$1,001 - $15,000",Senator,1001,15000,8000.5
CVS,CVS Health Corporation,2019-08-27,08/27/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
T,AT&amp;T Inc.,2019-08-27,08/27/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
TSLA,"Tesla, Inc.",2019-08-27,08/27/2019,SALE (FULL),"$15,001 - $50,000",Senator,15001,50000,32500.5
FDX,FedEx Corporation,2019-09-26,09/26/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
OKE,"ONEOK, Inc.",2019-09-19,09/19/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
AAPL,Apple Inc.,2019-09-19,09/19/2019,SALE (PARTIAL),"$15,001 - $50,000",Senator,15001,50000,32500.5
NFLX,"Netflix, Inc.",2019-09-24,09/24/2019,PURCHASE,"$50,001 - $100,000",Senator,50001,100000,75000.5
WFC,Wells Fargo &amp; Company,2019-09-01,09/01/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
DD,"DuPont de Nemours, Inc.",2019-08-01,08/01/2019,SALE (FULL),"$1,001 - $15,000",Senator,1001,15000,8000.5
AKAM,"Akamai Technologies, Inc.",2019-08-20,08/20/2019,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5
T,AT&amp;T Inc.,2019-08-26,08/26/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
T,AT&amp;T Inc.,2019-08-26,08/26/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
T,AT&amp;T Inc.,2019-08-22,08/22/2019,SALE (PARTIAL),"$15,001 - $50,000",Senator,15001,50000,32500.5
BMY,Bristol-Myers Squibb Company,2019-08-15,08/15/2019,SALE (PARTIAL),"$15,001 - $50,000",Senator,15001,50000,32500.5
EXR,Extra Space Storage Inc.,2019-08-13,08/13/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
EXR,Extra Space Storage Inc.,2019-08-13,08/13/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
