Ticker,Asset Name,Transaction Date,Disclosure Date,Type,Amount Range,Insider Title,Min Amount,Max Amount,Midpoint Amount,Stock Price at Trade,Stock Price 90D Later,Market (SPY) 90D Return,Stock 90D Return,Abnormal Alpha Return
ICE,"Intercontinental Exchange, Inc.",2020-05-20,05/20/2020,PURCHASE,"$1,000,001 - $5,000,000",Senator,1000001,5000000,3000000.5,86.26103973388672,96.66116333007812,0.14548974308531895,0.12056571110521672,-0.024924031980102235
NVDA,NVIDIA Corporation,2020-04-21,04/21/2020,PURCHASE,"$50,001 - $100,000",Senator,50001,100000,75000.5,6.703622817993164,10.462285995483398,0.19303852903010316,0.5606913275910488,0.3676527985609456
NFLX,"Netflix, Inc.",2020-04-09,04/09/2020,PURCHASE,"$50,001 - $100,000",Senator,50001,100000,75000.5,37.071998596191406,50.27799987792969,0.14152175926136407,0.356225770981093,0.21470401171972892
AAPL,Apple Inc.,2020-04-08,04/08/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,64.2302474975586,90.21223449707031,0.15009607629745514,0.40451326301520635,0.2544171867177512
AAPL,Apple Inc.,2020-04-27,04/27/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,68.35822296142578,89.67241668701172,0.12277324686672968,0.3118014600469271,0.1890282131801974
AAPL,Apple Inc.,2020-04-08,04/08/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,64.2302474975586,90.21223449707031,0.15009607629745514,0.40451326301520635,0.2544171867177512
NFLX,"Netflix, Inc.",2020-04-16,04/16/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,43.91699981689453,52.32600021362305,0.1582453790183172,0.19147483734746465,0.03322945832914745
NFLX,"Netflix, Inc.",2020-03-26,03/26/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,36.29899978637695,45.78499984741211,0.16932671464031898,0.26132951642913477,0.09200280178881579
ICE,"Intercontinental Exchange, Inc.",2020-02-26,02/26/2020,PURCHASE,"$1,000,001 - $5,000,000",Senator,1000001,5000000,3000000.5,86.3268051147461,86.98104095458984,-0.03422560061770697,0.007578594377194151,0.04180419499490112
ICE,"Intercontinental Exchange, Inc.",2020-02-18,02/18/2020,PURCHASE,"$5,000,001 - $25,000,000",Senator,5000001,25000000,15000000.5,88.47900390625,88.61488342285156,-0.11877582479773165,0.0015357261113103943,0.12031155090904204
